Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
P02533	74743.7	62150.9	48168.5	49453.3	90231.5	95495.5
P02538	27815.9	32477.4	10719.3	11071.4	14480.1	15160.8
P02545	76815.9	69419.4	78662.7	82757.4	68708.6	69652.5
P02557	488836	490238	230948	212186	46073.5	45632.8
P02647	15047.6	14321.7	11686.9	18921.8	17713.6	12650.7
P02649	3836.5	3181.13	2499.62	2391.02	2777.96	2731.12
P02656	926.581	1122.2	1318.2	1342.42	1427.2	1086.26
P02751	17083.6	21271.2	16289.3	18431.3	11734.1	11470.4
P02765	127542	110615	174775	169192	58961.2	38025.8
P02768	592053	569562	677730	664351	552280	491771
P02771	32835	29381.2	32617.3	32153.4	33838.6	37522.4
P02774	4974.72	4588.59	8421.86	6453.39	7996.14	6428.41
P02786	198146	196519	216549	201087	200296	196686
P02787	4339.88		3351.18	2414.02	2397.41	2481.29
P02788	70328.5	72957.4	101503	103774	93631	95399
P02792	9495.49	7528.09	8039.94	8758.68	6215.35	8295.69
P02794	31831	40184.1	52751.7	52669.6	63591.5	51378.6
P02829	4687830	4482290	2153360	2101750	541933	527407
P02992	772975	771963	361833	365079	99312.3	105458
P02994	6111690	6060060	3517150	3340350	819114	792184
P03871	48625.3	36386	20259	22290.7	5433.71	6115.3
P03872	47204	38666.9	21472	19202.5	4584.78	4724.59
P03886		2747.91	1742.2	3140.84	1991.68	1585.15
P03962	15128.3	14228.6	13059.1	15052.4	20456.4	14296.9
P03965	227859	209246	91011.5	90623.4	25665.5	24878.9
P04004	2495.27	4751.73	5030.24	2936.36	4068.16	5112.88
P04037	14551.2	24442.7	8778.52	13473.1	3511.31	3289.57
P04039		7656.55				
P04040	34167.3	31187	35484.5	37072.8	41467	43617
P04046	159982	155792	83683.5	79590.9	15642.7	19812.7
P04049	29527.2	23844.7	27105.2	32481.1	27109	25897.9
P04050	83772.3	84477.7	39017.2	38174.1	9704.15	11104.5
P04051	92898.1	78495.4	40999.4	48164.1	19204.6	20864.8
P04062	50284.9	48431	46867.3	51785.5	45031.6	49594.6
P04066	38942.2	38604.8	36348.7	40336	40574.2	40311.9
P04075	1677350	1562890	1762790	1782100	1666870	1709850
P04076	44476.3	45668.9	20331.8	20343.7	5815.66	5301.77
P04080	499800	428562	615998	570245	589382	589473
P04083	10042	9632.29	10332.9	11387.9	10656.1	9009.33
P04114	105863	118911	103625	111957	108081	125151
P04147	649439	637345	293089	299073	66604.5	67957
P04150	6453.24	5454.78	8538.52	7648.1	7936.79	7971.04
P04156	2063.21	3809.22	6045.88	2893.3	2323.63	3934.93
P04161	31596.4	31742.8	16887.6	14803.9	3828.61	4508.71
P04179	184656	175640	215414	212294	220219	207406
P04181	524077	460896	565744	578519	651841	622326
P04183	17199.6	22082.9	32144.1	26645.5	25442.1	27920.7
P38623	65838.8	52106.7	31494.4	33864.5	4990.16	7635.8
P38624	107236	95660.7	39302.8	43780.7	9791.08	9852.02
P38625	588844	582537	251077	244917	55869.4	51425.6
P38626	93199.5	81434.1	31234	35159	12113.4	9556.1
P38627	35370.2	29948.7	15231.5	15013.9	4078.19	4227.92
P38628	43331.4	37710	18864.4	20814	5731.25	5630.77
P38629	37295.6	34931	15939	16459.3	2709.69	
P38630	123727	105992	61776.9	60833.2	35699.9	24310.8
P38631	423755	403488	179117	182018	45111.1	43274.7
P38635	18496.1	16713.7	7211.81	8586.16	1281.26	2678.13
P38646	1415680	1403570	1497880	1455370	1355260	1316410
P38682	51943.7	52446.9	25118.1	27536.3	4561.62	5008.99
P38687	49657	48802.1	18229.6	22031.9	5207.63	6340.87
P38688	71998.1	77364.9	32028.1	37105.3	10435.1	11276.3
P38689	171408	157463	70989.5	75915.5	15921.5	17586.4
P38691	108217	113561	53135.5	66815.1		
P38692	185705	186614	83398.5	111244	26018	29052.1
P38693	368038	414107	182033	200742	29761.5	28697.3
P38694	48302.3	49737.5	24705.1	23780	7477.39	6346.29
P38695	43716.3	43342.5	18860.8	23689	4831.12	10940.9
P38697	715969	639923	269418	291684	72576.6	66372.2
P38698	97772.4	88299.3	32371.9	33465.6	7790.73	8560.88
P38701	2353390	2206660	1336970	1211220	276934	286275
P38703	33001.7	33418.4	6324.31	11950.5	1770.6	2975.64
P38705	48225.7	40060.5	58128.3	61096.4	39328	51376.4
P38707	778289	753410	335331	323739	74057	75072.5
