Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
O95999	16411.5	15061.6	18312.5	17294	13898.3	16026.5
O96000	7419.34	7510.48	6949.96	9424.03	6940.9	9631.05
O96005	11398	11920.5	11605.4	11609.8	10378.1	10155.8
O96006	8000.84	6194.15	7964.89	7637.95	5357.41	5541.81
O96007	9746.42	8068.83	13481.9	11501.1	14002.5	12666.6
O96008	17958.9	16154.5	19395.3	21596.4	19417.2	18332.6
O96011	6512.45	5719.33	5657.37	6467.16	7505.65	9426
O96013	24090.5	22943.1	24161	24670.5	24682.8	26231.1
O96015	870.346	710.499		1319.8	939.658	920.778
O96017	32421.2	28603.1	34348.1	35506.6	37363.6	38752.9
O96018	4926.04		1971.44	1782.25	2142.62	3563.43
O96019	58948.5	54433.4	60390.3	62998.7	50881.8	57770.1
O96020	20614.1	30167.5		25632.1	42439.2	18957
P00044	34535	49702.6	54863.4	52856.7	46074.6	
P00127	4202.49	4511.82	2625.29	5006.01	1228.21	899.982
P00128	10411	7259.09	5162.29	4753.71	2163.32	1555.54
P00156		4383.81	3050.83	4346.97	2147.52	2778.42
P00167	74564.2	48935.8	84709.4	79245.9	88207.8	83729.7
P00175	726031	709478	366979	339876	93619.3	88167.1
P00330	6646940	7181200	3911610	3802290	838389	855641
P00331	41560.8	29467.8	15890.8	10621.6	3769.15	4433.15
P00338	2204680	2185450	2483960	2347830	2287640	2206870
P00352	29372.4	32036.6	35110.5	24534.9	9821.43	14916.5
P00358	2196800	2479770	1116850	1114040	383422	400364
P00359	3722680	3420860	1839750	1849550	493132	511361
P00360	3881970	3518590	1734400	1744900	442548	386061
P00367	358982	330013	375071	359376	350914	334194
P00370	250851	290020	99670.5	50817.7	14740.2	19083.1
P00374	218573	243536	228449	241377	215876	230249
P00387	110598	110645	112788	118245	118518	112589
P00390	213964	196795	228989	222256	217556	216681
P00403	49816.6	40768.6	46129.3	56117.3	50440.1	51760.3
P00410	11141.3	9551.26	3932.69	4582.81	2073.69	
P00424	2298.08	2010.6	1221.05	1169.33	433.952	
P00425	9035.96	5744.71	4823.36	5544.31	69.5149	
P00427	28771.9	25079	14010.8	14038.9	3604.31	2704.48
P00431	21380.8	24016.4	10336.2	8788.07	2462.44	2073.54
P00441	653645	611076	896092	926918	978760	1011290
P00445	2726510	2659610	1525790	1407370	266064	247857
P00447	114436	110655	44532.6	45447.3	12122.4	11055.9
P00491	286666	277808	276638	271274	294813	305911
P00492	629505	599302	737275	707574	738018	706151
P00498	171634	171428	72747.7	70662.1	15332.1	17005.9
P00505	1030250	1017860	1167120	1186170	1074190	1091700
P00519	5268.89	4814.7	4491.58	5136.32	4477.39	5414.93
P00533	4526.51	9023.03	8078.83	4141.03	5696.55	5784.94
P00546	236420	231644	117677	116367	20946	33261.5
P00549	7654880	7491170	3861540	3889240	919968	906914
